# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 0, 'nu': 0, 'N_nmda': 1, 'nu_nmda': 10}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
# pannel: scan_nu_nmda
N,v_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,corr_coef_x_s,i_nmda_mean,i_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.94382523728471312552,0.02007852823487618274,0.01999999999999993103,0.49999999893652607996,-69.95547077127068291702,0.00048923561139879799,0.01591257679482869017,0.00008206884743946962,0.02010084033743947743,0.01025944648087027955,0.39627417578284340749,0.05078140375415845370,0.18488423553677435507,-0.00111299692984680740,0.00000040128012522325,0.00000000000000000000,0,,,
2,-69.92503705844630701449,0.02680118048911611650,0.03999999999999986205,0.66666666666659590845,-69.93718821639963323378,0.00039249458054536066,0.02245267515949517234,0.00006883139272518132,0.03912605049531246021,0.01971347405895765292,0.55869522567965601567,0.04248160386891560586,0.21078664781459491295,-0.00157013667490487696,0.00000033634693702966,0.00000000000000000000,0,,,
3,-69.91563104469473444169,0.03016813051937635576,0.05999999999999986594,0.74999999999997191136,-69.92402480007274334639,0.00020485699934416794,0.02716412595336323982,0.00004210062728342185,0.06205084385397475338,0.03115129322348858532,0.67554654804187019845,0.02593467411722293059,0.23301321901568980421,-0.00189935176753239622,0.00000020563213595333,0.00000000000000000000,0,,,
4,-69.90998361242935743576,0.03219010466103736784,0.07999999999999972411,0.79999999999997728484,-69.91846468149940108106,0.00017104692870145008,0.02915413819775762583,0.00003564093425750960,0.08047061501820046425,0.04076002933410757811,0.72482323257271763506,0.02193671147028808388,0.25586759806104181214,-0.00203835141825101096,0.00000017404526371388,0.00000000000000000000,0,,,
5,-69.90621706234387033874,0.03353884017756956354,0.09999999999999972800,0.83333333333331449655,-69.91385313090574982198,0.00011239487948740931,0.03080555079100108506,0.00002598544709614546,0.09707563034043568961,0.04886359639085123552,0.76570701308454403033,0.01598667976245386410,0.26593304924154848035,-0.00215369456242410495,0.00000012688091841589,0.00000000000000000000,0,,,
6,-69.90352588748272921748,0.03450259171308944078,0.11999999999999973188,0.85714285714284110806,-69.90966764701522606629,0.00008704230312044821,0.03230470978571012980,0.00002070025721129940,0.12165215730194761656,0.06110088063785703433,0.80278748338698746601,0.01272652186476729182,0.28453995373983070882,-0.00225838040203667472,0.00000010105802469787,0.00000000000000000000,0,,,
7,-69.90150707848188460503,0.03522560729996061096,0.13999999999999945821,0.87499999999998578915,-69.90736379666023481150,0.00007436993839783281,0.03313039257420082734,0.00001833649186676614,0.14212183616868503955,0.07208717499333471002,0.82320158724174030684,0.01126999410954383600,0.30403681436777951763,-0.00231603181586698603,0.00000008951188575948,0.00000000000000000000,0,,,
8,-69.89993664005878315493,0.03578807247682307124,0.15999999999999944822,0.88888888888887629403,-69.90496845391504621148,0.00004878593980808785,0.03398615318390554169,0.00001330763585076240,0.16030252016723531283,0.08173664482163502110,0.84435958986398629289,0.00817833414005071126,0.31180366542246157335,-0.00237578352244003721,0.00000006496130917508,0.00000000000000000000,0,,,
9,-69.89868012947502506904,0.03623812006895699156,0.17999999999999946598,0.89999999999998869793,-69.90367761585079620090,0.00004459395211526103,0.03444876270281908848,0.00001212582193981258,0.17615937843310863764,0.08916774448589805113,0.85578987943170370389,0.00745052107788619824,0.32160518616384520252,-0.00240807925482164255,0.00000005918936442107,0.00000000000000000000,0,,,
10,-69.89765196965238658322,0.03660639072497545027,0.19999999999999945599,0.90909090909089884658,-69.90176130769643236818,0.00003103376115407127,0.03513508884550176764,0.00000918702810820010,0.20101860356636286342,0.10272319193733486786,0.87274839404007975574,0.00564435447538788777,0.33754651713454170148,-0.00245599349768673694,0.00000004484341681790,0.00000000000000000000,0,,,
11,-69.89679509711100990899,0.03691331725166013822,0.21999999999999944600,0.91666666666665730379,-69.90047565688531960859,0.00002667321964569305,0.03559420033028629776,0.00000801764173147089,0.22357613448290489244,0.11371885212493935968,0.88408780040691736790,0.00492516890593483209,0.34776977623480437307,-0.00248804199102226758,0.00000003913403647941,0.00000000000000000000,0,,,
12,-69.89606999949229759750,0.03717304868186073474,0.23999999999999946376,0.92307692307691446842,-69.89983399276059117255,0.00002523574932913524,0.03582552848518939792,0.00000762006905465352,0.23704830446204946948,0.12041381098086495482,0.88980056269604701491,0.00468129596351020937,0.35065246671122934918,-0.00250418947308839830,0.00000003719416386167,0.00000000000000000000,0,,,
13,-69.89544844957931957197,0.03739569340444397205,0.25999999999999889866,0.92857142857142038750,-69.89898151743693688331,0.00002171940500482668,0.03613006313242516504,0.00000672043296918462,0.25647623538495767370,0.12994442500435393617,0.89732095626202734717,0.00412787582699824206,0.36228013451773755094,-0.00252544685038484911,0.00000003280154592960,0.00000000000000000000,0,,,
14,-69.89490974485896401802,0.03758866544338452381,0.27999999999999891642,0.93333333333332568760,-69.89788545072656233970,0.00001628917776930551,0.03652322046885978640,0.00000538921863224908,0.28352939322547993095,0.14354570833985869083,0.90702944475898927834,0.00331037963758842044,0.37696980041913935588,-0.00255289005801233098,0.00000002630439263484,0.00000000000000000000,0,,,
15,-69.89443835680000916000,0.03775752609381093083,0.29999999999999893419,0.93749999999999289457,-69.89746880985813959342,0.00001448708112380299,0.03667216633535071851,0.00000504931256944541,0.29546058952582981982,0.14934274860714491506,0.91070692261567554038,0.00310187259381468003,0.37946680481574834864,-0.00256328642490653456,0.00000002464587736805,0.00000000000000000000,0,,,
16,-69.89402240954916578630,0.03790652862723222633,0.31999999999999889644,0.94117647058822861972,-69.89669610015194223251,0.00001221553019822913,0.03694933830152704463,0.00000426964854756027,0.31969741731086859238,0.16156083110192567820,0.91754939299220172888,0.00262264445513887053,0.38904418553119290980,-0.00258263230379747076,0.00000002083979454978,0.00000000000000000000,0,,,
17,-69.89365266558536404773,0.03803898149601631085,0.33999999999999891420,0.94444444444443820252,-69.89624791124695946110,0.00000999997190023106,0.03710844749544541660,0.00000373471539494187,0.33469054163445655092,0.16924833364832103655,0.92147722251316388498,0.00229425430044286277,0.39849576325154806300,-0.00259373767132407493,0.00000001822920198452,0.00000000000000000000,0,,,
18,-69.89332183160769318420,0.03815749688221204555,0.35999999999999893197,0.94736842105262564218,-69.89569357816998262933,0.00000903123628023965,0.03730787891781632559,0.00000343245058393547,0.36008023928628241084,0.18170082224023742512,0.92639962791362384653,0.00210858916536779553,0.40743406809335880325,-0.00260765684607603982,0.00000001675387611804,0.00000000000000000000,0,,,
19,-69.89302407260413474432,0.03826416470673581899,0.37999999999999889422,0.94999999999999440448,-69.89536186701106146302,0.00000810843733385653,0.03742658128005160734,0.00000313902531624220,0.37697962652992300647,0.19322521139582424232,0.92932939240538692260,0.00192827712540860250,0.41742261052550672096,-0.00261594154539065678,0.00000001532154848621,0.00000000000000000000,0,,,
