# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 0, 'nu': 0, 'N_nmda': 1, 'nu_nmda': 1}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
# pannel: scan_nu_nmda
N,v_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,corr_coef_x_s,i_nmda_mean,i_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
17,-69.92921495490749350665,0.02530596301593251302,0.03399999999999986366,0.62962962962839919001,-69.91272022398636920570,0.01311226995912892490,0.02250024074710194402,0.00007239628881767757,0.04059042443014652946,0.02058250604534648739,0.55958491962333900549,0.04465559225191782083,0.17370249674189025546,-0.00157326270838708811,0.00000035371480847997,0.00000000000000000000,0,,,
18,-69.92772302932078787308,0.02583988422291445125,0.03599999999999986544,0.64285714285667927559,-69.91276545520224772190,0.01657756084980691394,0.02206254366719792928,0.00008269437254818930,0.03792336317254511174,0.01828704835379895213,0.54783521105547694496,0.05057555142079395855,0.20699424589096718230,-0.00154205610923738323,0.00000040313060047660,0.00000000000000000000,0,,,
19,-69.92633381509075718441,0.02633706820195076681,0.03799999999999986722,0.65517241379292745496,-69.91334457990220130341,0.01584020916210521213,0.02173162130660870328,0.00005936881996144567,0.03368421117800247944,0.01798153423839538717,0.53973169209226468102,0.03619255521886174248,0.19411635614083866397,-0.00151900567230553755,0.00000028919737294751,0.00000000000000000000,0,,,
20,-69.92503705844630701449,0.02680118048911611650,0.03999999999999986205,0.66666666666659590845,-69.91439422406733683601,0.01280059928806531223,0.02202977046042156606,0.00008144851882101154,0.04210517682889675095,0.01989687092108230124,0.54813150143196909259,0.05030422948348216988,0.20418228817622960380,-0.00154053507681877139,0.00000039806874346452,0.00000000000000000000,0,,,
21,-69.92382382652030514691,0.02723541466763390595,0.04199999999999986383,0.67741935483867321555,-69.92623158564705931894,0.01371072767701128278,0.01775926232191042328,0.00014130014863770720,0.03368418899583244808,0.01691862300318112966,0.44195223940968580978,0.08740547660064976188,0.21896354484760285897,-0.00124195195110081620,0.00000069084457146923,0.00000000000000000000,0,,,
22,-69.92268630128498330123,0.02764256595658423979,0.04399999999999986561,0.68749999999996469491,-69.90215693244964256792,0.01639801559622341975,0.02546857504980516718,0.00004171478979919990,0.04433832434749270662,0.02058353376109602756,0.63224422725508111487,0.02514472310801126390,0.21133049777025011973,-0.00178000737601675843,0.00000020260322220547,0.00000000000000000000,0,,,
23,-69.92161761089630545030,0.02802509144691717885,0.04599999999999986738,0.69696969696966282193,-69.90593037845552260023,0.01577710865481666419,0.02432446297874671370,0.00005711525072508790,0.04724508081759046935,0.02465311037706328923,0.60420012404822931451,0.03517340119647280328,0.22203532464450687067,-0.00170029284938251349,0.00000027891295659220,0.00000000000000000000,0,,,
24,-69.92061169075664395223,0.02838515972845615312,0.04799999999999986222,0.70588235294114332063,-69.92287177270374343152,0.01329046044620087533,0.01895258523052257768,0.00009423816576071729,0.03526569721713936068,0.01767406029344148477,0.47172264759297954928,0.05824083068425157245,0.22983272765729764742,-0.00132545410938699122,0.00000046064795649622,0.00000000000000000000,0,,,
25,-69.91966316836082739883,0.02872469202565214319,0.04999999999999986400,0.71428571428568210511,-69.90285906199507337533,0.01593018974967095117,0.02549943773325391919,0.00005501525227101532,0.05684206541407267610,0.02689376620819903738,0.63335560193292617104,0.03394327314828041176,0.26347027619706875345,-0.00178240415559269608,0.00000026877783529080,0.00000000000000000000,0,,,
26,-69.91876726730765767570,0.02904539649009999988,0.05199999999999986577,0.72222222222219090160,-69.90145302437144891883,0.01423942918808956612,0.02625250051436676252,0.00004631814842856699,0.05684210723047568997,0.03028401958669478880,0.65231841772674326041,0.02880569784726698737,0.21646959713791025237,-0.00183522322559024156,0.00000022674574444475,0.00000000000000000000,0,,,
