# in_testing: False
# method: euler
# panel: NMDA_block_no_firing
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: 100
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 2000, 'nu': 82, 'N_nmda': 0, 'nu_nmda': 0}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 0, 'nu_nmda': 0}
# smoothened_rate_width: 10
# x_nmda: 0
N,v_steady,g_e_steady,g_i_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_e_mean,g_e_var,g_i_mean,g_i_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.97704752841345055003,0.00819999999999996773,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.97185648275775804450,0.03756862061737465536,0.00827200625419146143,0.00020792636432513396,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
2,-69.95411010377469551713,0.01639999999999993546,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.94929709914154614125,0.03757817492875205334,0.01633832665212181512,0.00040825083343124115,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
3,-69.93118771129485367055,0.02459999999999993442,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.92699643982312807111,0.03762587626213003550,0.02432214259399989587,0.00061046273821189047,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
4,-69.90828033620168469042,0.03279999999999987093,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.90340254934092456551,0.03755349187419045054,0.03277191770823850714,0.00083325454830333401,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
5,-69.91488750140001684485,0.03279999999999987093,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.91006776623412122262,0.03752746114703647135,0.03275198628970813625,0.00082668718701553326,0.01642333233186336200,0.00032557699097717028,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
6,-69.89200794975013764088,0.04099999999999987682,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.88672961140150619030,0.03764689163400552346,0.04114467519892103103,0.00103207625673067084,0.01656998893527125011,0.00032909137243229740,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
7,-69.86914336780564838136,0.04919999999999986884,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.86451688460049069818,0.03754759318509521410,0.04909186249497888427,0.00123495085323852742,0.01640270372809883928,0.00033013758751655585,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
8,-69.84629374087968756157,0.05739999999999987473,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.84066582880647899856,0.03742049406254443350,0.05763937018922900973,0.00145328227086472905,0.01627769937297307221,0.00032280368834565747,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
9,-69.82345905430466359576,0.06559999999999974185,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.81864913824794882657,0.03751290172939310968,0.06552633273373480172,0.00165694735097342261,0.01612317332721275448,0.00032363768470828724,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
10,-69.83010869219032201727,0.06559999999999974185,0.03279999999999967664,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.82754978286668290366,0.03766366249866970328,0.06480281600689251353,0.00161833977718063267,0.03318242338294766919,0.00066420063605030475,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
