# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 2000, 'nu': 82, 'N_nmda': 10, 'nu_nmda': 10}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
N,v_steady,g_e_steady,g_i_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_e_mean,g_e_var,g_i_mean,g_i_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
17,-69.59714551133085080892,0.11479999999999974947,0.04919999999999968149,0.03726345863592598479,0.19999999999999945599,0.90909090909089884658,-69.59656472022740558714,0.03720327020738426610,0.11482142731499028754,0.00289793392768725048,0.04903752902931673291,0.00098603238556856511,0.03569115400664744919,0.00001076740863140928,0.20226063814282319031,0.10299287953905361670,0.87082081908307640283,0.00637267686589605264,0.00000000000000000000,0,,,
18,-69.60395230175626579694,0.11479999999999974947,0.06559999999999935327,0.03724845177879844427,0.19999999999999945599,0.90909090909089884658,-69.60385060950744673391,0.03685332672902862094,0.11460791933333874804,0.00289520356382201582,0.06530985505548034253,0.00131346022473116512,0.03568552219116193774,0.00001132583107636270,0.20236605982566208128,0.10310281716648081463,0.87100798395002942964,0.00676539021803624924,0.00000000000000000000,0,,,
19,-69.58118810734551118458,0.12299999999999948475,0.06559999999999935327,0.03729866232497301010,0.19999999999999945599,0.90909090909089884658,-69.58213080291709218272,0.03727272007191011205,0.12259172085355768411,0.00310385943457646904,0.06606195987939118830,0.00130572011105128580,0.03569900125248058609,0.00001120322704489001,0.20119777898762322699,0.10148623906540214790,0.87025468541490569319,0.00661905258589848017,0.00000000000000000000,0,,,
20,-69.55843871076767470640,0.13119999999999948370,0.06559999999999935327,0.03734890461530721711,0.19999999999999945599,0.90909090909089884658,-69.55758007145908550228,0.03711695488134041793,0.13105376324047030012,0.00332750201515121836,0.06442693137016103355,0.00129107082156644580,0.03588857205719116206,0.00000995312694734790,0.20247384818299088427,0.10181714778804630550,0.87362898068438477051,0.00587740252248072654,0.00000000000000000000,0,,,
21,-69.53570409765421800330,0.13939999999999949654,0.06559999999999935327,0.03739917862976785412,0.19999999999999945599,0.90909090909089884658,-69.53585758049021592342,0.03721116373422454077,0.13923140679773152173,0.00350856415208351943,0.06579587928691196796,0.00134037562584827185,0.03580810242894550549,0.00001113335584173896,0.19979758419719678697,0.10011182813705600536,0.87056040654595689965,0.00658053143806277413,0.00000000000000000000,0,,,
22,-69.51298425365517630325,0.14759999999999948161,0.06559999999999935327,0.03744948434829795114,0.19999999999999945599,0.90909090909089884658,-69.51160179651768089570,0.03725154581867221731,0.14807751355408579896,0.00374032776560555497,0.06587522950596622073,0.00129429120836783832,0.03577430083162502078,0.00001166909093615330,0.19856665548886173744,0.09990207842819397166,0.86853428681492916841,0.00683247893733261811,0.00000000000000000000,0,,,
23,-69.51983276657854560199,0.14759999999999948161,0.08199999999999935119,0.03743431376104695146,0.19999999999999945599,0.90909090909089884658,-69.52095875910356426175,0.03761601979367313470,0.14700672535142764175,0.00371694612247662785,0.08165132146717442307,0.00162811234520464582,0.03584142251259377077,0.00001035404713088193,0.19727657314724172943,0.09944230371126408508,0.87045070060470841611,0.00602978916128350459,0.00000000000000000000,0,,,
24,-69.49714029085072297676,0.15579999999999949445,0.08199999999999935119,0.03748460377987890280,0.19999999999999945599,0.90909090909089884658,-69.49518356571471144889,0.03747172028100835550,0.15645963955443667470,0.00398499780961549845,0.08292110495662333158,0.00164124862867746240,0.03595616860970380496,0.00001092594533900511,0.20216611484828622691,0.10037427982255003878,0.87207435585212578211,0.00642854279380975033,0.00000000000000000000,0,,,
25,-69.47446253782982239500,0.16399999999999950728,0.08199999999999935119,0.03753492542094763462,0.19999999999999945599,0.90909090909089884658,-69.47032686981766858025,0.03725689645268352029,0.16521695654820553467,0.00419158841117172817,0.08144346578179922913,0.00159936090258279971,0.03600785480931266436,0.00001033663918683743,0.20129999992796429598,0.10255974265173206650,0.87195068041977485951,0.00605084859651189733,0.00000000000000000000,0,,,
26,-69.45179949324813151179,0.17219999999999952012,0.08199999999999935119,0.03758527866417765012,0.19999999999999945599,0.90909090909089884658,-69.45147145292830259677,0.03734988291223504536,0.17227677879734404343,0.00432338927149210697,0.08207370432432947727,0.00161779727331966077,0.03590940476051849434,0.00001103666990323675,0.19550028372832470303,0.09833989198621709282,0.86856987755722758759,0.00640294407316900887,0.00000000000000000000,0,,,
27,-69.42915114285646893677,0.18039999999999950520,0.08199999999999935119,0.03763566348946999207,0.19999999999999945599,0.90909090909089884658,-69.42804864808938702936,0.03731500357657790978,0.18068972403611910371,0.00455140760988789056,0.08203892791333171342,0.00162069046850517014,0.03602513506310359853,0.00001128650671279524,0.20036585968928213863,0.10043398842103133661,0.87017092192841571929,0.00652847843413998340,0.00000000000000000000,0,,,
28,-69.43604100215829078024,0.18039999999999950520,0.09839999999999936298,0.03762032911163615267,0.19999999999999945599,0.90909090909089884658,-69.43534114128624423756,0.03718016704994330651,0.18046536514704097920,0.00446632302750583996,0.09788746561955546932,0.00197526200870076643,0.03601133366000133784,0.00001129735233438156,0.19996525903108877675,0.10156669433159556948,0.87027217856518146455,0.00656949353508753161,0.00000000000000000000,0,,,
29,-69.41341986083976678401,0.18859999999999946252,0.09839999999999936298,0.03767069803298333380,0.19999999999999945599,0.90909090909089884658,-69.41323604674560954209,0.03771578477927391149,0.18875938310280948595,0.00476555141892359962,0.09987315600167086249,0.00200286268224917968,0.03608944672118051533,0.00001113963990946903,0.20196181689402806225,0.10103906024607883785,0.87101439461922769425,0.00643607987906846465,0.00000000000000000000,0,,,
30,-69.39081336764178331578,0.19679999999999947535,0.09839999999999936298,0.03772109845476423473,0.19999999999999945599,0.90909090909089884658,-69.39062885738837849203,0.03692534017815381903,0.19671801454938370179,0.00496386975451094427,0.09796859794683934752,0.00196977718125410832,0.03608495832381852786,0.00001138737627432162,0.20066440913182820305,0.10216406666111012280,0.86974308826352164647,0.00656641981000092526,0.00000000000000000000,0,,,
31,-69.36822150839662981525,0.20499999999999948819,0.09839999999999936298,0.03777153035686228039,0.19999999999999945599,0.90909090909089884658,-69.36898092913176583352,0.03749290829437778444,0.20481405572902616763,0.00512447389095991006,0.09901069757727763709,0.00202400882146188017,0.03606752241498309419,0.00001254335440343969,0.20031723010756338765,0.10238397289490268338,0.86820455609141922171,0.00721118263271322384,0.00000000000000000000,0,,,
