# in_testing: False
# method: euler
# panel: NMDA block
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 2000, 'nu': 82, 'N_nmda': 0, 'nu_nmda': 0}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 0, 'nu_nmda': 0}
# smoothened_rate_width: 10
# x_nmda: 0
N,v_steady,g_e_steady,g_i_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_e_mean,g_e_var,g_i_mean,g_i_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.97704752841345055003,0.00819999999999996773,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.97205336733726710463,0.03764033699592625459,0.00820164682130372982,0.00020750812762384180,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
2,-69.95411010377469551713,0.01639999999999993546,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.94965681061856344058,0.03748868240358392556,0.01621165670748851706,0.00040539768001297529,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
3,-69.96069157265945648305,0.01639999999999993546,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.95540963294354241953,0.03763685327300275024,0.01651666666503837436,0.00041728230947558084,0.01648200343102230667,0.00032734064115443528,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
4,-69.93778203746134636276,0.02459999999999993442,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.93229899880819289137,0.03772396091379551925,0.02475155883366959506,0.00062913581527627017,0.01617999026682567440,0.00032094879687367506,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
5,-69.91488750140001684485,0.03279999999999987093,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.90960508106385873361,0.03761098034010770808,0.03287874496327066604,0.00083414807684565370,0.01614599083560101789,0.00032677262004345481,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
6,-69.89200794975013764088,0.04099999999999987682,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.88727320860569136585,0.03757147758063015403,0.04099956490515281604,0.00103241289635835139,0.01691747668395790494,0.00033901254491264417,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
7,-69.86914336780564838136,0.04919999999999986884,0.01639999999999983832,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.86380959117400379910,0.03784588192456955075,0.04940557803061387115,0.00125666753846106192,0.01680100323628084397,0.00033256229096007131,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
8,-69.87576748265965420615,0.04919999999999986884,0.03279999999999967664,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.87246275079557733534,0.03791069824210674399,0.04872567819077173318,0.00123156122208002423,0.03356921486533773202,0.00068182562538811103,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
9,-69.85293062630307758809,0.05739999999999987473,0.03279999999999967664,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.84778704170517471539,0.03742875324376428170,0.05743779116289384618,0.00143317422516147579,0.03255532593122931889,0.00066530213296298621,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
10,-69.83010869219032201727,0.06559999999999974185,0.03279999999999967664,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-69.82462063740987900928,0.03771821330364510255,0.06577147819734296963,0.00166416074069652259,0.03261155889192486612,0.00065712035888167728,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,,
